step: 8, posicao 44,312: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 8, posicao 53,321: [descricao: runright, codigo: 130, valor: 105.947, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 9, posicao 53,321: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 9, posicao 62,336: [descricao: runright, codigo: 130, valor: 105.65, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 10, posicao 62,336: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 10, posicao 71,352: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 49.0, descricao: right, codigo: 128, valor: 50.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 49.0]
step: 11, posicao 71,352: [descricao: runright, codigo: 130, valor: 50.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 11, posicao 87,352: [descricao: runright, codigo: 130, valor: 50.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 12, posicao 87,352: [descricao: runright, codigo: 130, valor: 50.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 12, posicao 95,352: [descricao: runright, codigo: 130, valor: 50.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 13, posicao 95,352: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 13, posicao 104,352: [descricao: runright, codigo: 130, valor: 50.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 14, posicao 104,352: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 14, posicao 112,352: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 49.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 15, posicao 112,352: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 15, posicao 121,338: [descricao: runright, codigo: 130, valor: 49.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 16, posicao 121,338: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 16, posicao 130,323: [descricao: runright, codigo: 130, valor: 49.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 17, posicao 130,323: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 17, posicao 139,313: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 49.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 18, posicao 139,313: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 18, posicao 148,309: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 49.0]
step: 19, posicao 148,309: [descricao: runright, codigo: 130, valor: 0.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
step: 19, posicao 156,308: [descricao: runright, codigo: 130, valor: 53.0, descricao: runjumpright, codigo: 131, valor: 0.0, descricao: right, codigo: 128, valor: 0.0, descricao: down, codigo: 32, valor: 0.0, descricao: jump, codigo: 1, valor: 0.0, descricao: left, codigo: 64, valor: 0.0, descricao: jumpright, codigo: 129, valor: 0.0, descricao: spin, codigo: 256, valor: 0.0, descricao: spinright, codigo: 384, valor: 0.0]
